method,shots,seed,adapt_stage,seen_mean_accuracy,seen_mean_balanced_accuracy,seen_mean_average_precision,seen_mean_roc_auc
ftnet,10,2,4,0.8207707707707709,0.8207707707707709,0.9133400888704479,0.9255832148464782
ftnet_t,1,0,0,0.5901090109010901,0.59010901090109,0.8436385000990896,0.8179131194447578
ftnet_t,1,0,1,0.7114961496149614,0.7114961496149614,0.7904910452314565,0.7432823965464854
ftnet_t,1,0,2,0.7117378404507116,0.7117378404507116,0.7814902088269012,0.7812816901918881
ftnet_t,1,0,3,0.7300855085508551,0.7300855085508551,0.7987090320267344,0.799937963343289
ftnet_t,1,0,4,0.7138413841384139,0.7138413841384139,0.7910777041511612,0.7733789750612224
ftnet_t,1,1,0,0.5172017201720172,0.5172017201720172,0.5741510955422571,0.5714401923240628
ftnet_t,1,1,1,0.721947194719472,0.721947194719472,0.7803877752782289,0.7843935583677379
ftnet_t,1,1,2,0.7456745674567457,0.7456745674567457,0.8210942041622924,0.8118161567798611
ftnet_t,1,1,3,0.7893289328932893,0.7893289328932893,0.852930579572776,0.8649898568214658
ftnet_t,1,1,4,0.7964796479647964,0.7964796479647964,0.8603612242927913,0.8729557844273277
ftnet_t,1,2,0,0.42284228422842285,0.42284228422842285,0.5316800610730688,0.44999950540108513
ftnet_t,1,2,1,0.5113261326132613,0.5113261326132613,0.5923190952660485,0.5702441781331848
ftnet_t,1,2,2,0.5542220888755542,0.5542220888755542,0.6880000975900523,0.6880051674867791
ftnet_t,1,2,3,0.589071407140714,0.5890714071407142,0.7240119588220375,0.7287711531929271
ftnet_t,1,2,4,0.6830383038303831,0.6830383038303831,0.7991191128900406,0.7967799380198045
ftnet_t,5,0,0,0.6469234617308655,0.6469234617308655,0.7350713535848485,0.7447511799921973
ftnet_t,5,0,1,0.7136568284142071,0.7136568284142071,0.7865490874035612,0.7980034889881158
ftnet_t,5,0,2,0.7879606469901618,0.7879606469901618,0.8550574436286423,0.8693197691058302
ftnet_t,5,0,3,0.793871935967984,0.793871935967984,0.8631499201289068,0.8713271468150283
ftnet_t,5,0,4,0.8128364182091046,0.8128364182091046,0.8940984503908528,0.8933214511207579
ftnet_t,5,1,0,0.7175087543771886,0.7175087543771885,0.7945637786808405,0.8086401980379885
ftnet_t,5,1,1,0.756728364182091,0.756728364182091,0.8471828596791346,0.8340172887844621
ftnet_t,5,1,2,0.7706019676504919,0.7706019676504918,0.8529363001960556,0.8449085723452022
ftnet_t,5,1,3,0.8070785392696348,0.8070785392696348,0.8836501815299096,0.8878545913777298
ftnet_t,5,1,4,0.8222611305652826,0.8222611305652826,0.8954088602055584,0.9058517803173723
ftnet_t,5,2,0,0.636968484242121,0.636968484242121,0.771156369197498,0.7857466852485773
ftnet_t,5,2,1,0.7472986493246623,0.7472986493246624,0.8554366076881748,0.8798687988316318
ftnet_t,5,2,2,0.7939136234784058,0.7939136234784058,0.8783629662778742,0.899578431870596
ftnet_t,5,2,3,0.8133816908454227,0.8133816908454227,0.8840704200030078,0.9039979657162248
ftnet_t,5,2,4,0.841240620310155,0.841240620310155,0.9012125496557346,0.9153814876422703
ftnet_t,10,0,0,0.6623123123123124,0.6623123123123122,0.7709036939951667,0.803242436630825
ftnet_t,10,0,1,0.7998998998998998,0.7998998998999,0.8747421325545035,0.8865160004849695
ftnet_t,10,0,2,0.8258591925258593,0.8258591925258593,0.8973487925053257,0.9119247793004884
ftnet_t,10,0,3,0.8338713713713714,0.8338713713713715,0.9015714111824549,0.9163256399542685
ftnet_t,10,0,4,0.8401701701701703,0.8401701701701703,0.921247403633684,0.9307510533556581
ftnet_t,10,1,0,0.7447947947947948,0.7447947947947948,0.8122920019502033,0.8291729667605544
ftnet_t,10,1,1,0.7966466466466466,0.7966466466466466,0.8910095100363435,0.8860728270813354
ftnet_t,10,1,2,0.805055055055055,0.805055055055055,0.8915168835517139,0.8930902140044616
ftnet_t,10,1,3,0.8397397397397397,0.8397397397397397,0.915500115321918,0.9219577347617888
ftnet_t,10,1,4,0.85019019019019,0.85019019019019,0.9232181437609095,0.9307990603215828
ftnet_t,10,2,0,0.718018018018018,0.718018018018018,0.8531684655623586,0.8603983563142723
ftnet_t,10,2,1,0.7898398398398399,0.7898398398398399,0.8808117602648504,0.900408213518824
ftnet_t,10,2,2,0.8380380380380381,0.838038038038038,0.9180903999425406,0.9302925832071645
ftnet_t,10,2,3,0.8391891891891892,0.8391891891891892,0.9136178279918878,0.9282802083865648
ftnet_t,10,2,4,0.8541241241241242,0.854124124124124,0.9221932666562896,0.93399299199099
