experiment,method,adaptation_mode,reproduction_scope,decision_threshold,shots,seed,adapt_stage,adapt_generator,eval_stage,eval_generator,n,accuracy,balanced_accuracy,real_accuracy,fake_accuracy,average_precision,roc_auc,f1
opensdi_continual_fewshot,ftnet,few_shot,paper_algorithm_unpublished_support_split,0.5,1,0,0,SD1.5,0,SD1.5,19998,0.5928092809280928,0.5928092809280928,0.25662566256625663,0.928992899289929,0.8412235579319305,0.8142797628097643,0.6952584109876128
opensdi_continual_fewshot,ftnet,few_shot,paper_algorithm_unpublished_support_split,0.5,1,0,1,SD2.1,0,SD1.5,19998,0.713971397139714,0.7139713971397139,0.8726872687268726,0.5552555255525553,0.8008322940154587,0.7657638751173848,0.6600095102234903
opensdi_continual_fewshot,ftnet,few_shot,paper_algorithm_unpublished_support_split,0.5,1,0,1,SD2.1,1,SD2.1,19998,0.7166216621662166,0.7166216621662167,0.9227922792279228,0.5104510451045104,0.8002618486339254,0.7586511676470178,0.6430236220472441
opensdi_continual_fewshot,ftnet,few_shot,paper_algorithm_unpublished_support_split,0.5,1,0,2,SDXL,0,SD1.5,19998,0.6856185618561856,0.6856185618561856,0.5564556455645564,0.8147814781478148,0.7644135184317384,0.7657136950818795,0.7215800894557372
opensdi_continual_fewshot,ftnet,few_shot,paper_algorithm_unpublished_support_split,0.5,1,0,2,SDXL,1,SD2.1,19998,0.7029702970297029,0.7029702970297029,0.6222622262226223,0.7836783678367837,0.7587432931884328,0.76198779994011,0.725152692948362
opensdi_continual_fewshot,ftnet,few_shot,paper_algorithm_unpublished_support_split,0.5,1,0,2,SDXL,2,SDXL,19998,0.7395239523952395,0.7395239523952395,0.6124612461246125,0.8665866586658666,0.8238626066160498,0.8295238914830577,0.7688894804560983
opensdi_continual_fewshot,ftnet,few_shot,paper_algorithm_unpublished_support_split,0.5,1,0,3,SD3,0,SD1.5,19998,0.6994199419941994,0.6994199419941994,0.5811581158115812,0.8176817681768177,0.7778336208140818,0.779644111025764,0.731207798595895
opensdi_continual_fewshot,ftnet,few_shot,paper_algorithm_unpublished_support_split,0.5,1,0,3,SD3,1,SD2.1,19998,0.723972397239724,0.7239723972397241,0.6467646764676468,0.8011801180118012,0.7841705524281973,0.7887978416803576,0.7437563828799555
opensdi_continual_fewshot,ftnet,few_shot,paper_algorithm_unpublished_support_split,0.5,1,0,3,SD3,2,SDXL,19998,0.7589258925892589,0.7589258925892589,0.6393639363936393,0.8784878487848785,0.8407530001835023,0.8496924799990749,0.7846710438161597
opensdi_continual_fewshot,ftnet,few_shot,paper_algorithm_unpublished_support_split,0.5,1,0,3,SD3,3,SD3,19998,0.7408740874087408,0.7408740874087408,0.6358635863586358,0.8458845884588458,0.8176524813170811,0.8228478513417898,0.7654991401936827
opensdi_continual_fewshot,ftnet,few_shot,paper_algorithm_unpublished_support_split,0.5,1,0,4,FLUX.1,0,SD1.5,19998,0.716971697169717,0.716971697169717,0.846984698469847,0.5869586958695869,0.8004861564717433,0.7917562233271032,0.674675250028739
opensdi_continual_fewshot,ftnet,few_shot,paper_algorithm_unpublished_support_split,0.5,1,0,4,FLUX.1,1,SD2.1,19998,0.7263726372637264,0.7263726372637264,0.9109910991099109,0.5417541754175418,0.8138574004049746,0.8038989317473602,0.664418005642095
opensdi_continual_fewshot,ftnet,few_shot,paper_algorithm_unpublished_support_split,0.5,1,0,4,FLUX.1,2,SDXL,19998,0.723072307230723,0.723072307230723,0.9110911091109111,0.5350535053505351,0.8087507178461116,0.8031017623214467,0.6589481463234389
opensdi_continual_fewshot,ftnet,few_shot,paper_algorithm_unpublished_support_split,0.5,1,0,4,FLUX.1,3,SD3,19998,0.6994199419941994,0.6994199419941994,0.9137913791379138,0.48504850485048506,0.7875492558794759,0.7768630048323364,0.6174018203806251
opensdi_continual_fewshot,ftnet,few_shot,paper_algorithm_unpublished_support_split,0.5,1,0,4,FLUX.1,4,FLUX.1,19998,0.697019701970197,0.697019701970197,0.9133913391339133,0.48064806480648065,0.7884886534360327,0.7738167256069541,0.6133622615021377
opensdi_continual_fewshot,ftnet,few_shot,paper_algorithm_unpublished_support_split,0.5,1,1,0,SD1.5,0,SD1.5,19998,0.5129012901290129,0.5129012901290129,0.10151015101510151,0.9242924292429243,0.5739773360468191,0.5731245441775901,0.6548804251550044
opensdi_continual_fewshot,ftnet,few_shot,paper_algorithm_unpublished_support_split,0.5,1,1,1,SD2.1,0,SD1.5,19998,0.681018101810181,0.6810181018101811,0.6196619661966196,0.7423742374237424,0.7572491743634886,0.7533698764415896,0.6994581861012956
opensdi_continual_fewshot,ftnet,few_shot,paper_algorithm_unpublished_support_split,0.5,1,1,1,SD2.1,1,SD2.1,19998,0.7665766576657665,0.7665766576657665,0.7263726372637264,0.8067806780678067,0.8296536082407802,0.8349331232753239,0.7755985001442169
opensdi_continual_fewshot,ftnet,few_shot,paper_algorithm_unpublished_support_split,0.5,1,1,2,SDXL,0,SD1.5,19998,0.6999699969997,0.6999699969997,0.7161716171617162,0.6837683768376838,0.7900380518040524,0.78109307580423,0.6950289722476365
opensdi_continual_fewshot,ftnet,few_shot,paper_algorithm_unpublished_support_split,0.5,1,1,2,SDXL,1,SD2.1,19998,0.7974797479747975,0.7974797479747975,0.8209820982098209,0.773977397739774,0.8731135149741446,0.8711775818045852,0.7926054895534617
opensdi_continual_fewshot,ftnet,few_shot,paper_algorithm_unpublished_support_split,0.5,1,1,2,SDXL,2,SDXL,19998,0.7523752375237523,0.7523752375237525,0.814981498149815,0.6897689768976898,0.8246008439766994,0.8180111440486983,0.7358369785554252
opensdi_continual_fewshot,ftnet,few_shot,paper_algorithm_unpublished_support_split,0.5,1,1,3,SD3,0,SD1.5,19998,0.7288228822882288,0.7288228822882288,0.6188618861886188,0.8387838783878387,0.8203415290373516,0.8284897796710364,0.7556877055457945
opensdi_continual_fewshot,ftnet,few_shot,paper_algorithm_unpublished_support_split,0.5,1,1,3,SD3,1,SD2.1,19998,0.82998299829983,0.8299829982998299,0.7397739773977398,0.9201920192019202,0.8917525022257231,0.909162973503071,0.8440510044950005
opensdi_continual_fewshot,ftnet,few_shot,paper_algorithm_unpublished_support_split,0.5,1,1,3,SD3,2,SDXL,19998,0.7909790979097909,0.790979097909791,0.7344734473447345,0.8474847484748474,0.8503101472543043,0.868585938501841,0.802158273381295
opensdi_continual_fewshot,ftnet,few_shot,paper_algorithm_unpublished_support_split,0.5,1,1,3,SD3,3,SD3,19998,0.8195819581958196,0.8195819581958196,0.7363736373637364,0.9027902790279028,0.8803346360758746,0.8997494658956846,0.8334410488412889
opensdi_continual_fewshot,ftnet,few_shot,paper_algorithm_unpublished_support_split,0.5,1,1,4,FLUX.1,0,SD1.5,19998,0.7186218621862186,0.7186218621862186,0.6011601160116011,0.8360836083608361,0.801173843185456,0.8151775523586963,0.7481988633821095
opensdi_continual_fewshot,ftnet,few_shot,paper_algorithm_unpublished_support_split,0.5,1,1,4,FLUX.1,1,SD2.1,19998,0.8211321132113212,0.8211321132113212,0.7309730973097309,0.9112911291129113,0.882732939929666,0.9007008761682249,0.8359249575707537
opensdi_continual_fewshot,ftnet,few_shot,paper_algorithm_unpublished_support_split,0.5,1,1,4,FLUX.1,2,SDXL,19998,0.8061306130613062,0.8061306130613062,0.7273727372737274,0.8848884888488849,0.8556068499349916,0.8824838779507513,0.8202846150280443
opensdi_continual_fewshot,ftnet,few_shot,paper_algorithm_unpublished_support_split,0.5,1,1,4,FLUX.1,3,SD3,19998,0.8160816081608161,0.816081608160816,0.7266726672667266,0.9054905490549054,0.8958406014582431,0.9049474954496151,0.8311759845772514
opensdi_continual_fewshot,ftnet,few_shot,paper_algorithm_unpublished_support_split,0.5,1,1,4,FLUX.1,4,FLUX.1,19998,0.817931793179318,0.817931793179318,0.7331733173317332,0.9026902690269026,0.9014043371700156,0.9068637136740978,0.8321578389342185
opensdi_continual_fewshot,ftnet,few_shot,paper_algorithm_unpublished_support_split,0.5,1,2,0,SD1.5,0,SD1.5,19998,0.4340934093409341,0.4340934093409341,0.0613061306130613,0.8068806880688069,0.5141883598396652,0.4370151386575801,0.5877681856263433
opensdi_continual_fewshot,ftnet,few_shot,paper_algorithm_unpublished_support_split,0.5,1,2,1,SD2.1,0,SD1.5,19998,0.5055505550555055,0.5055505550555055,0.0424042404240424,0.9686968696869687,0.5541303156619112,0.5224472892333738,0.6620642515379358
opensdi_continual_fewshot,ftnet,few_shot,paper_algorithm_unpublished_support_split,0.5,1,2,1,SD2.1,1,SD2.1,19998,0.5261026102610261,0.5261026102610261,0.0627062706270627,0.9894989498949895,0.613654852808668,0.6155658920227456,0.6761660686827268
opensdi_continual_fewshot,ftnet,few_shot,paper_algorithm_unpublished_support_split,0.5,1,2,2,SDXL,0,SD1.5,19998,0.5197019701970197,0.5197019701970197,0.0539053905390539,0.9854985498549855,0.6233457879796636,0.6099652419487374,0.6723296830757685
opensdi_continual_fewshot,ftnet,few_shot,paper_algorithm_unpublished_support_split,0.5,1,2,2,SDXL,1,SD2.1,19998,0.531953195319532,0.531953195319532,0.0734073407340734,0.9904990499049905,0.6595712855734177,0.6654420017459292,0.6791003839824465
opensdi_continual_fewshot,ftnet,few_shot,paper_algorithm_unpublished_support_split,0.5,1,2,2,SDXL,2,SDXL,19998,0.5322032203220322,0.5322032203220323,0.06940694069406941,0.994999499949995,0.7432709636122904,0.7573028079885695,0.6802037397873723
opensdi_continual_fewshot,ftnet,few_shot,paper_algorithm_unpublished_support_split,0.5,1,2,3,SD3,0,SD1.5,19998,0.5221022102210221,0.5221022102210221,0.1416141614161416,0.9025902590259026,0.6208074155702369,0.6042628715316776,0.653819683413627
opensdi_continual_fewshot,ftnet,few_shot,paper_algorithm_unpublished_support_split,0.5,1,2,3,SD3,1,SD2.1,19998,0.5433543354335434,0.5433543354335434,0.16911691169116913,0.9175917591759176,0.6816922081854079,0.6837745580738692,0.6677097736700386
opensdi_continual_fewshot,ftnet,few_shot,paper_algorithm_unpublished_support_split,0.5,1,2,3,SD3,2,SDXL,19998,0.5627562756275628,0.5627562756275627,0.1635163516351635,0.961996199619962,0.7883304760333543,0.7963580736511495,0.687513401472375
opensdi_continual_fewshot,ftnet,few_shot,paper_algorithm_unpublished_support_split,0.5,1,2,3,SD3,3,SD3,19998,0.5689068906890689,0.5689068906890689,0.16601660166016602,0.9717971797179717,0.7452358942337494,0.7775771276497587,0.6927107467474604
opensdi_continual_fewshot,ftnet,few_shot,paper_algorithm_unpublished_support_split,0.5,1,2,4,FLUX.1,0,SD1.5,19998,0.5565056505650565,0.5565056505650565,0.2784278427842784,0.8345834583458346,0.6355957777763115,0.62885359443035,0.6529989436206425
opensdi_continual_fewshot,ftnet,few_shot,paper_algorithm_unpublished_support_split,0.5,1,2,4,FLUX.1,1,SD2.1,19998,0.6278627862786279,0.6278627862786279,0.3424342434243424,0.9132913291329133,0.7590386736188215,0.7725138850518715,0.7104956041391115
opensdi_continual_fewshot,ftnet,few_shot,paper_algorithm_unpublished_support_split,0.5,1,2,4,FLUX.1,2,SDXL,19998,0.6407140714071408,0.6407140714071407,0.3386338633863386,0.9427942794279428,0.8438264754994544,0.8402785323036754,0.7240677445370406
opensdi_continual_fewshot,ftnet,few_shot,paper_algorithm_unpublished_support_split,0.5,1,2,4,FLUX.1,3,SD3,19998,0.6533653365336534,0.6533653365336534,0.34233423342334235,0.9643964396439644,0.8500643176072391,0.859347585923709,0.7356014951559997
opensdi_continual_fewshot,ftnet,few_shot,paper_algorithm_unpublished_support_split,0.5,1,2,4,FLUX.1,4,FLUX.1,19998,0.6557155715571558,0.6557155715571558,0.3428342834283428,0.9685968596859686,0.8621748142876391,0.8660398893174646,0.7377642353837365
opensdi_continual_fewshot,ftnet,few_shot,paper_algorithm_unpublished_support_split,0.5,5,0,0,SD1.5,0,SD1.5,19990,0.6483241620810405,0.6483241620810405,0.4021010505252626,0.8945472736368184,0.7641186720252995,0.7683016545791655,0.7178066795118818
opensdi_continual_fewshot,ftnet,few_shot,paper_algorithm_unpublished_support_split,0.5,5,0,1,SD2.1,0,SD1.5,19990,0.6626813406703351,0.6626813406703351,0.4609304652326163,0.864432216108054,0.7918834707278062,0.7840028968961719,0.7193106606169088
opensdi_continual_fewshot,ftnet,few_shot,paper_algorithm_unpublished_support_split,0.5,5,0,1,SD2.1,1,SD2.1,19990,0.73991995997999,0.7399199599799899,0.5606803401700851,0.9191595797898949,0.815809538226193,0.8393100752477289,0.7794510668985704
opensdi_continual_fewshot,ftnet,few_shot,paper_algorithm_unpublished_support_split,0.5,5,0,2,SDXL,0,SD1.5,19990,0.6973486743371686,0.6973486743371686,0.5198599299649825,0.8748374187093547,0.8111509868083049,0.817862377912318,0.7429688163820206
opensdi_continual_fewshot,ftnet,few_shot,paper_algorithm_unpublished_support_split,0.5,5,0,2,SDXL,1,SD2.1,19990,0.788344172086043,0.788344172086043,0.6290145072536268,0.9476738369184592,0.859940728325966,0.8879846826865159,0.8174325782092773
opensdi_continual_fewshot,ftnet,few_shot,paper_algorithm_unpublished_support_split,0.5,5,0,2,SDXL,2,SDXL,19990,0.7933466733366683,0.7933466733366683,0.6256128064032016,0.9610805402701351,0.8878881906394751,0.9062313297719394,0.8230304588099217
opensdi_continual_fewshot,ftnet,few_shot,paper_algorithm_unpublished_support_split,0.5,5,0,3,SD3,0,SD1.5,19990,0.7086043021510755,0.7086043021510755,0.5405702851425713,0.8766383191595798,0.8042027098233181,0.8149144106820794,0.7505246477365197
opensdi_continual_fewshot,ftnet,few_shot,paper_algorithm_unpublished_support_split,0.5,5,0,3,SD3,1,SD2.1,19990,0.7962981490745372,0.7962981490745373,0.6661330665332666,0.9264632316158079,0.872558148106088,0.8901952727239056,0.8197592067988668
opensdi_continual_fewshot,ftnet,few_shot,paper_algorithm_unpublished_support_split,0.5,5,0,3,SD3,2,SDXL,19990,0.7978989494747374,0.7978989494747373,0.6662331165582791,0.9295647823911956,0.8902868737374259,0.9005050549286648,0.8214127840155601
