method,shots,seed,adapt_stage,seen_mean_accuracy,seen_mean_average_precision,seen_mean_roc_auc
ftnet,8,40,-1,0.830804643714972,0.9077315104285045,0.9151437493068915
ftnet_t,8,40,-1,0.8329663730984788,0.9063208582821902,0.9123695052919839
