experiment,method,adaptation_mode,reproduction_scope,decision_threshold,shots,seed,adapt_stage,adapt_generator,eval_stage,eval_generator,n,accuracy,real_accuracy,fake_accuracy,average_precision,roc_auc,f1,official_balanced_accuracy,official_real_positive_average_precision_20
genimage_fixed_checkpoint_evaluation,clipdet,evaluation_only,official_released_inference,0.0,0,0,-1,joint,0,GenImage,56000,0.7018035714285714,0.969,0.66974,0.9926302070739218,0.9490578216666667,0.8004254658013935,,
genimage_fixed_checkpoint_evaluation,omnidfa_detection,evaluation_only,official_released_authenticity_inference,-0.9916446805000305,0,0,-1,joint,0,GenImage,56000,0.9585714285714285,0.9643333333333334,0.95788,0.9975522184465226,0.9865494966666666,0.9763525910221389,0.9611066579818726,0.5284380316734314
